model,severity,corr_with_error,n_flagged
DeepSeek,high,0.12848490489555123,1022
DeepSeek,low,-0.008238093108605758,75
DeepSeek,medium,0.12493180452795512,504
OpenAI,high,0.2504080304496716,1749
OpenAI,low,0.040269294957739656,337
OpenAI,medium,0.07819441676309492,4150
Qwen,high,0.20711684532678282,850
Qwen,low,-0.007338283556389938,51
Qwen,medium,0.22145119028015564,315
